NameofState,TotalConfirmedcases,Cured,Death,Date,Latitude,Longitude
Andaman and Nicobar Islands,11,10,0,4/14/2020,11.7401,92.6586
Andhra Pradesh,473,14,9,4/14/2020,15.9129,79.74
Arunachal Pradesh,1,0,0,4/14/2020,28.218,94.7278
Assam,31,0,1,4/14/2020,26.2006,92.9376
Bihar,66,26,1,4/14/2020,25.0961,85.3131
Chandigarh,21,7,0,4/14/2020,30.7333,76.7794
Chhattisgarh,31,10,0,4/14/2020,21.2787,81.8661
Delhi,1510,30,28,4/14/2020,28.7041,77.1025
Goa,7,5,0,4/14/2020,15.2993,74.124
Gujarat,617,55,26,4/14/2020,22.2587,71.1924
Haryana,199,34,3,4/14/2020,29.0588,76.0856
Himachal Pradesh,32,13,1,4/14/2020,31.1048,77.1734
Jammu and Kashmir,270,16,4,4/14/2020,33.7782,76.5762
Jharkhand,24,0,2,4/14/2020,23.6102,85.2799
Karnataka,258,65,9,4/14/2020,15.3173,75.7139
Kerala,379,198,3,4/14/2020,10.8505,76.2711
Ladakh,15,10,0,4/14/2020,34.2996,78.2932
Madhya Pradesh,730,51,50,4/14/2020,22.9734,78.6569
Maharashtra,2337,229,160,4/14/2020,19.7515,75.7139
Manipur,2,1,0,4/14/2020,24.6637,93.9063
Meghalaya,1,0,0,4/14/2020,,
Mizoram,1,0,0,4/14/2020,23.1645,92.9376
Nagaland,1,0,0,4/14/2020,,
Odisha,55,18,1,4/14/2020,20.9517,85.0985
Puducherry,7,1,0,4/14/2020,11.9416,79.8083
Punjab,176,14,12,4/14/2020,31.1471,75.3412
Rajasthan,879,133,3,4/14/2020,27.0238,74.2179
Tamil Nadu,1173,58,11,4/14/2020,11.1271,78.6569
Telengana,624,100,17,4/14/2020,18.1124,79.0193
Tripura,2,0,0,4/14/2020,,
Uttar Pradesh,657,49,5,4/14/2020,26.8467,80.9462
Uttarakhand,35,7,0,4/14/2020,30.0668,79.0193
West Bengal,190,36,7,4/14/2020,22.9868,87.855
